timestamp,index,name,temperature_c,utilization_gpu_pct,memory_used_mib,memory_total_mib,power_draw_w
2026/08/28 20:49:04.823, 0, NVIDIA A10, 28, 0, 1, 23028, 16.21
2026/08/28 20:50:04.837, 0, NVIDIA A10, 56, 100, 7332, 23028, 149.65
2026/08/28 20:51:04.852, 0, NVIDIA A10, 61, 100, 7332, 23028, 150.15
2026/08/28 20:52:04.866, 0, NVIDIA A10, 61, 100, 7332, 23028, 147.92
2026/08/28 20:53:04.881, 0, NVIDIA A10, 62, 100, 7332, 23028, 148.17
2026/08/28 20:54:04.895, 0, NVIDIA A10, 62, 100, 7238, 23028, 149.86
2026/08/28 20:55:04.910, 0, NVIDIA A10, 62, 100, 7238, 23028, 147.41
2026/08/28 20:56:04.924, 0, NVIDIA A10, 61, 100, 7238, 23028, 147.83
2026/08/28 20:57:04.939, 0, NVIDIA A10, 57, 0, 7238, 23028, 66.15
2026/08/28 20:58:04.953, 0, NVIDIA A10, 62, 100, 7232, 23028, 146.45
2026/08/28 20:59:04.968, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.12
2026/08/28 21:00:04.982, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.17
2026/08/28 21:01:04.997, 0, NVIDIA A10, 59, 100, 7232, 23028, 97.22
2026/08/28 21:02:05.011, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.14
2026/08/28 21:03:05.027, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.80
2026/08/28 21:04:05.041, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.13
2026/08/28 21:05:05.056, 0, NVIDIA A10, 60, 100, 7232, 23028, 151.36
2026/08/28 21:06:05.071, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.09
2026/08/28 21:07:05.086, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.50
2026/08/28 21:08:05.100, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.88
2026/08/28 21:09:05.115, 0, NVIDIA A10, 60, 100, 7232, 23028, 151.49
2026/08/28 21:10:05.130, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.61
2026/08/28 21:11:05.145, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.54
2026/08/28 21:12:05.159, 0, NVIDIA A10, 61, 100, 7232, 23028, 150.35
2026/08/28 21:13:05.174, 0, NVIDIA A10, 60, 100, 7232, 23028, 150.00
2026/08/28 21:14:05.189, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.67
2026/08/28 21:15:05.204, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.06
2026/08/28 21:16:05.218, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.14
2026/08/28 21:17:05.233, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.28
2026/08/28 21:18:05.248, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.52
2026/08/28 21:19:05.262, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.78
2026/08/28 21:20:05.277, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.93
2026/08/28 21:21:05.292, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.84
2026/08/28 21:22:05.306, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.96
2026/08/28 21:23:05.321, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.13
2026/08/28 21:24:05.336, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.00
2026/08/28 21:25:05.351, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.96
2026/08/28 21:26:05.366, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.23
2026/08/28 21:27:05.381, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.98
2026/08/28 21:28:05.396, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.90
2026/08/28 21:29:05.411, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.46
2026/08/28 21:30:05.426, 0, NVIDIA A10, 62, 100, 7232, 23028, 151.87
2026/08/28 21:31:05.441, 0, NVIDIA A10, 62, 100, 7232, 23028, 153.44
2026/08/28 21:32:05.457, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.23
2026/08/28 21:33:05.472, 0, NVIDIA A10, 61, 100, 7232, 23028, 146.95
2026/08/28 21:34:05.487, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.88
2026/08/28 21:35:05.501, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.41
2026/08/28 21:36:05.516, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.56
2026/08/28 21:37:05.531, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.57
2026/08/28 21:38:05.545, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.88
2026/08/28 21:39:05.560, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.54
2026/08/28 21:40:05.575, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.06
2026/08/28 21:41:05.589, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.45
2026/08/28 21:42:05.604, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.93
2026/08/28 21:43:05.618, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.68
2026/08/28 21:44:05.632, 0, NVIDIA A10, 61, 100, 7232, 23028, 150.99
2026/08/28 21:45:05.647, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.95
2026/08/28 21:46:05.661, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.90
2026/08/28 21:47:05.675, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.08
2026/08/28 21:48:05.690, 0, NVIDIA A10, 62, 100, 7232, 23028, 146.83
2026/08/28 21:49:05.704, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.46
2026/08/28 21:50:05.718, 0, NVIDIA A10, 62, 100, 7232, 23028, 151.17
2026/08/28 21:51:05.733, 0, NVIDIA A10, 62, 100, 7232, 23028, 146.27
2026/08/28 21:52:05.747, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.36
2026/08/28 21:53:05.762, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.24
2026/08/28 21:54:05.777, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.27
2026/08/28 21:55:05.791, 0, NVIDIA A10, 62, 100, 7232, 23028, 151.74
2026/08/28 21:56:05.805, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.72
2026/08/28 21:57:05.820, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.54
2026/08/28 21:58:05.834, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.60
2026/08/28 21:59:05.849, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.36
2026/08/28 22:00:05.864, 0, NVIDIA A10, 62, 100, 7232, 23028, 146.31
2026/08/28 22:01:05.878, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.42
2026/08/28 22:02:05.892, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.19
2026/08/28 22:03:05.907, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.18
2026/08/28 22:04:05.921, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.83
2026/08/28 22:05:05.938, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.58
2026/08/28 22:06:05.952, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.66
2026/08/28 22:07:05.966, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.01
2026/08/28 22:08:05.981, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.62
2026/08/28 22:09:05.996, 0, NVIDIA A10, 61, 100, 7232, 23028, 146.80
2026/08/28 22:10:06.010, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.96
2026/08/28 22:11:06.027, 0, NVIDIA A10, 61, 100, 7232, 23028, 151.28
2026/08/28 22:12:06.042, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.90
2026/08/28 22:13:06.056, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.99
2026/08/28 22:14:06.071, 0, NVIDIA A10, 62, 100, 7232, 23028, 151.07
2026/08/28 22:15:06.085, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.16
2026/08/28 22:16:06.099, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.31
2026/08/28 22:17:06.116, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.61
2026/08/28 22:18:06.131, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.24
2026/08/28 22:19:06.146, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.51
2026/08/28 22:20:06.160, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.11
2026/08/28 22:21:06.175, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.52
2026/08/28 22:22:06.189, 0, NVIDIA A10, 61, 100, 7232, 23028, 147.90
2026/08/28 22:23:06.205, 0, NVIDIA A10, 62, 100, 7232, 23028, 149.15
2026/08/28 22:24:06.219, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.30
2026/08/28 22:25:06.234, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.25
2026/08/28 22:26:06.248, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.86
2026/08/28 22:27:06.263, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.79
2026/08/28 22:28:06.277, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.49
2026/08/28 22:29:06.294, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.54
2026/08/28 22:30:06.309, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.19
2026/08/28 22:31:06.323, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.42
2026/08/28 22:32:06.338, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.87
2026/08/28 22:33:06.353, 0, NVIDIA A10, 61, 100, 7232, 23028, 149.53
2026/08/28 22:34:06.367, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.87
2026/08/28 22:35:06.384, 0, NVIDIA A10, 62, 100, 7232, 23028, 151.39
2026/08/28 22:36:06.398, 0, NVIDIA A10, 57, 0, 7232, 23028, 66.91
2026/08/28 22:37:06.412, 0, NVIDIA A10, 61, 100, 7232, 23028, 148.17
2026/08/28 22:38:06.427, 0, NVIDIA A10, 62, 100, 7232, 23028, 148.98
2026/08/28 22:39:06.441, 0, NVIDIA A10, 62, 100, 7232, 23028, 150.14
2026/08/28 22:40:06.456, 0, NVIDIA A10, 60, 100, 7232, 23028, 101.46
2026/08/28 22:41:06.472, 0, NVIDIA A10, 62, 100, 7232, 23028, 152.60
2026/08/28 22:42:06.487, 0, NVIDIA A10, 62, 100, 7232, 23028, 147.66
