timestamp,index,name,temperature_c,utilization_gpu_pct,memory_used_mib,memory_total_mib,power_draw_w
2026/08/28 17:32:13.553, 0, NVIDIA A10, 25, 0, 1, 23028, 9.61
2026/08/28 17:33:13.568, 0, NVIDIA A10, 55, 100, 6820, 23028, 152.10
2026/08/28 17:34:13.586, 0, NVIDIA A10, 61, 100, 6820, 23028, 150.83
2026/08/28 17:35:13.601, 0, NVIDIA A10, 61, 100, 6820, 23028, 145.27
2026/08/28 17:36:13.615, 0, NVIDIA A10, 61, 100, 6832, 23028, 151.77
2026/08/28 17:37:13.631, 0, NVIDIA A10, 62, 100, 6832, 23028, 151.24
2026/08/28 17:38:13.645, 0, NVIDIA A10, 62, 100, 6832, 23028, 154.45
2026/08/28 17:39:13.660, 0, NVIDIA A10, 60, 100, 6832, 23028, 147.85
2026/08/28 17:40:13.675, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.58
2026/08/28 17:41:13.690, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.33
2026/08/28 17:42:13.705, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.86
2026/08/28 17:43:13.720, 0, NVIDIA A10, 61, 100, 6832, 23028, 147.23
2026/08/28 17:44:13.735, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.04
2026/08/28 17:45:13.750, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.87
2026/08/28 17:46:13.765, 0, NVIDIA A10, 61, 100, 6832, 23028, 153.39
2026/08/28 17:47:13.780, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.09
2026/08/28 17:48:13.795, 0, NVIDIA A10, 62, 100, 6832, 23028, 151.58
2026/08/28 17:49:13.810, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.70
2026/08/28 17:50:13.825, 0, NVIDIA A10, 62, 100, 6832, 23028, 154.82
2026/08/28 17:51:13.840, 0, NVIDIA A10, 62, 100, 6832, 23028, 151.81
2026/08/28 17:52:13.855, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.07
2026/08/28 17:53:13.870, 0, NVIDIA A10, 61, 100, 6832, 23028, 151.29
2026/08/28 17:54:13.885, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.88
2026/08/28 17:55:13.900, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.74
2026/08/28 17:56:13.915, 0, NVIDIA A10, 60, 100, 6832, 23028, 148.21
2026/08/28 17:57:13.930, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.14
2026/08/28 17:58:13.945, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.12
2026/08/28 17:59:13.960, 0, NVIDIA A10, 62, 100, 6832, 23028, 144.15
2026/08/28 18:00:13.975, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.76
2026/08/28 18:01:13.989, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.59
2026/08/28 18:02:14.004, 0, NVIDIA A10, 62, 100, 6832, 23028, 150.14
2026/08/28 18:03:14.019, 0, NVIDIA A10, 61, 100, 6832, 23028, 147.41
2026/08/28 18:04:14.034, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.45
2026/08/28 18:05:14.049, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.00
2026/08/28 18:06:14.064, 0, NVIDIA A10, 62, 100, 6832, 23028, 145.22
2026/08/28 18:07:14.079, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.04
2026/08/28 18:08:14.094, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.99
2026/08/28 18:09:14.110, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.37
2026/08/28 18:10:14.124, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.47
2026/08/28 18:11:14.140, 0, NVIDIA A10, 62, 100, 6832, 23028, 145.46
2026/08/28 18:12:14.155, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.04
2026/08/28 18:13:14.169, 0, NVIDIA A10, 61, 100, 6832, 23028, 152.40
2026/08/28 18:14:14.184, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.71
2026/08/28 18:15:14.199, 0, NVIDIA A10, 62, 100, 6832, 23028, 144.36
2026/08/28 18:16:14.214, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.85
2026/08/28 18:17:14.229, 0, NVIDIA A10, 62, 100, 6832, 23028, 143.68
2026/08/28 18:18:14.243, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.76
2026/08/28 18:19:14.258, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.63
2026/08/28 18:20:14.273, 0, NVIDIA A10, 61, 100, 6832, 23028, 146.56
2026/08/28 18:21:14.288, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.45
2026/08/28 18:22:14.303, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.94
2026/08/28 18:23:14.318, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.14
2026/08/28 18:24:14.333, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.91
2026/08/28 18:25:14.348, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.32
2026/08/28 18:26:14.363, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.36
2026/08/28 18:27:14.378, 0, NVIDIA A10, 61, 100, 6832, 23028, 143.50
2026/08/28 18:28:14.393, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.64
2026/08/28 18:29:14.408, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.49
2026/08/28 18:30:14.423, 0, NVIDIA A10, 61, 100, 6832, 23028, 145.45
2026/08/28 18:31:14.437, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.57
2026/08/28 18:32:14.453, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.28
2026/08/28 18:33:14.467, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.65
2026/08/28 18:34:14.482, 0, NVIDIA A10, 61, 100, 6832, 23028, 152.55
2026/08/28 18:35:14.497, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.30
2026/08/28 18:36:14.513, 0, NVIDIA A10, 62, 100, 6832, 23028, 145.74
2026/08/28 18:37:14.528, 0, NVIDIA A10, 61, 100, 6832, 23028, 154.84
2026/08/28 18:38:14.543, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.17
2026/08/28 18:39:14.558, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.59
2026/08/28 18:40:14.572, 0, NVIDIA A10, 62, 100, 6832, 23028, 150.67
2026/08/28 18:41:14.587, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.05
2026/08/28 18:42:14.602, 0, NVIDIA A10, 62, 100, 6832, 23028, 150.26
2026/08/28 18:43:14.617, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.65
2026/08/28 18:44:14.632, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.78
2026/08/28 18:45:14.647, 0, NVIDIA A10, 62, 100, 6832, 23028, 145.77
2026/08/28 18:46:14.662, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.37
2026/08/28 18:47:14.677, 0, NVIDIA A10, 61, 100, 6832, 23028, 148.37
2026/08/28 18:48:14.692, 0, NVIDIA A10, 62, 100, 6832, 23028, 153.49
2026/08/28 18:49:14.706, 0, NVIDIA A10, 62, 100, 6832, 23028, 144.14
2026/08/28 18:50:14.722, 0, NVIDIA A10, 62, 100, 6832, 23028, 146.18
2026/08/28 18:51:14.736, 0, NVIDIA A10, 62, 100, 6832, 23028, 149.18
2026/08/28 18:52:14.751, 0, NVIDIA A10, 62, 100, 6832, 23028, 152.89
2026/08/28 18:53:14.767, 0, NVIDIA A10, 62, 100, 6832, 23028, 150.48
2026/08/28 18:54:14.782, 0, NVIDIA A10, 62, 100, 6832, 23028, 154.83
2026/08/28 18:55:14.796, 0, NVIDIA A10, 62, 100, 6832, 23028, 148.35
2026/08/28 18:56:14.811, 0, NVIDIA A10, 62, 100, 6832, 23028, 147.86
2026/08/28 18:57:14.826, 0, NVIDIA A10, 58, 0, 6832, 23028, 67.87
2026/08/28 18:58:14.841, 0, NVIDIA A10, 62, 100, 6832, 23028, 143.96
